source,content,intent,priority,segment,qualified
linkedin,Saw your post about automation just curious what your tool does.,unclear,low,unknown,False
event,Met your team at TechExpo interested in enterprise licensing options.,buying,medium,enterprise,True
website,Having trouble integrating your API with our staging environment can someone help?,support,medium,unknown,False
website,Ready to move forward send contract and onboarding steps.,buying,medium,enterprise,True
cold_email,Not sure if this is relevant but we might explore tools like yours next quarter.,unclear,low,unknown,False
referral,John from Acme suggested we contact you need a demo this week for rollout.,buying,high,enterprise,True
partner,Client is comparing vendors need security documentation and SLA details.,researching,medium,enterprise,True
linkedin,Loved your article on LLM cost optimization—can we chat about your training pause feature?,researching,medium,enterprise,True
website,Where can I find the documentation for the Firebase webhooks?,researching,medium,unknown,False
referral,"Hey, I'm a friend of Carlin's. He said you guys help SFIT students with project management?",support,low,unknown,False
event,Caught the keynote yesterday. Does your platform support multi-tenant architecture?,researching,medium,enterprise,True
cold_email,Unsubscribe.,unclear,low,unknown,False
partner,Our mutual client is asking for a custom SOC2 report. Do you have a bridge letter?,researching,medium,enterprise,True
website,Pricing page says 'Contact Us' for teams over 50. Can I get a quote for 200 seats?,buying,medium,enterprise,True
linkedin,We are looking for a Prompt Refiner for a short-term contract. Are you open to freelance?,buying,low,unknown,False
referral,"Our CTO mentioned your ""Synthetica"" patent. We'd like a technical deep dive.",researching,medium,enterprise,True
cold_email,Follow up: Are you the right person to talk to regarding internal dev tools?,unclear,low,unknown,False
website,Is there a sandbox environment for the trial? We don't want to use production data.,researching,medium,enterprise,True
website,System is throwing a 403 error on the /auth endpoint. Please advise.,support,high,enterprise,True
event,"I missed the demo at the booth, but my colleague said your UI is best-in-class. Send info?",researching,medium,enterprise,True
referral,Referred by the L&T team. Looking for a high-performance website build like the one you did.,buying,medium,enterprise,True
website,Urgent: Payment failed for our monthly subscription. Need to update the billing admin.,support,high,enterprise,True
linkedin,Connecting from the Mumbai tech scene! Would love to grab coffee and talk shop.,buying,low,enterprise,False
cold_email,"Just saw your ""INDRA"" branding. Are you looking for distribution partners in West Africa?",researching,low,unknown,False
linkedin,Do you have any open roles for Junior Web Developers or interns this summer?,buying,low,enterprise,False
event,"Great seeing you at the Hackathon! How’s the ""CatCode"" progress coming along?",researching,medium,enterprise,True
website,Can I cancel my demo for tomorrow and reschedule for next Monday at 10 AM?,researching,medium,enterprise,True
